Question,Answer
"is that right? Why?","Honestly, it is one of the funniest movies I've seen in a long time."
"honestly, it is one of the funniest movies I've seen in a long time.","You're right. That movie is hilarious."
"you're right. That movie is hilarious.","I didn't think you saw that movie."
"i didn't think you saw that movie.","I went to see it the day it came out."
"i went to see it the day it came out.","I was laughing through the whole movie."
"i was laughing through the whole movie.","I couldn't help laughing, either."
"i couldn't help laughing, either.","Same here."
"same here.","I bought the movie. Would you like to come to my house and watch it?"
"i bought the movie. Would you like to come to my house and watch it?","Of course."
"out of every movie that you've seen, which one is your favorite?","I'm going to have to say that Superbad is the best movie ever."
"i'm going to have to say that Superbad is the best movie ever.","You think so, how come?"
"you think so, how come?","Well, Superbad is super funny."
"well, Superbad is super funny.","You're not lying, I found that movie absolutely hilarious."
"you're not lying, I found that movie absolutely hilarious.","I didn't know that you saw Superbad before."
"i didn't know that you saw Superbad before.","I made sure to be in line to see it the first day it came out."
"i made sure to be in line to see it the first day it came out.","I couldn't keep from laughing throughout the whole movie."
"i couldn't keep from laughing throughout the whole movie.","I was laughing hysterically the whole time; my stomach muscles hurt afterwards."
"i was laughing hysterically the whole time; my stomach muscles hurt afterwards.","That's exactly how I felt."
"that's exactly how I felt.","I got the movie when it came out on DVD, do you want to come over?"
"what type of music do you like to listen to?","I like listening to different kinds of music."
"i like listening to different kinds of music.","Like what, for instance?"
"like what, for instance?","I enjoy rock and R&B."
"i enjoy rock and R&B.","Why is that?"
"why is that?","I like the different instruments that they use."
"i like the different instruments that they use.","That's a good reason to like something."
"that's a good reason to like something.","Yeah, I think so too."
"what kind of music do you enjoy listening to?","I enjoy listening to all kinds of music."
"i enjoy listening to all kinds of music.","What kind?"
"what kind?","I like to listen to rock and R&B."
"i like to listen to rock and R&B.","Why do you like that type of music?"
"why do you like that type of music?","I like the kinds of instruments that they use."
"i like the kinds of instruments that they use.","I think that's an excellent reason to like something."
"i think that's an excellent reason to like something.","Thanks, I feel the same way."
"what is your favorite kind of music?","I listen to various types of music."
"i listen to various types of music.","What genres?"
"what genres?","I enjoy listening to both rock and R&B."
"i enjoy listening to both rock and R&B.","What interests you in that type of music?"
"what interests you in that type of music?","I enjoy the different types of instruments that they use."
"i enjoy the different types of instruments that they use.","That is a perfect reason to like a certain kind of music."
"did you go to the basketball game on Friday?","No, I couldn't make it."
"no, I couldn't make it.","You missed a really good game."
"you missed a really good game.","Oh, really? Who won?"
"oh, really? Who won?","Our school did. They played really well."
"our school did. They played really well.","Too bad I was busy. I really wanted to go."
"too bad I was busy. I really wanted to go.","Yeah, you should have. It was really exciting."
"yeah, you should have. It was really exciting.","So what was the score?"
"so what was the score?","The score was 101-98."
"the score was 101-98.","Man, that was a really close game."
"man, that was a really close game.","That's what made it so great."
"that's what made it so great.","I'll make sure and make it to the next one."
"were you able to attend Friday night's basketball game?","I was unable to make it."
"i was unable to make it.","You should have been there. It was intense."
"you should have been there. It was intense.","Is that right. Who ended up winning?"
"is that right. Who ended up winning?","Our team was victorious."
"our team was victorious.","I wish I was free that night. I'm kind of mad that I didn't go."
"i wish I was free that night. I'm kind of mad that I didn't go.","It was a great game."
"it was a great game.","What was the score at the end of the game?"
"what was the score at the end of the game?","Our team won 101-98."
"our team won 101-98.","Sounds like it was a close game."
"sounds like it was a close game.","That's the reason it was such a great game."
"that's the reason it was such a great game.","The next game, I will definitely be there."
"i was meaning to ask you if you saw the basketball game on Friday.","I wanted to go, but I couldn't."
"i wanted to go, but I couldn't.","It was a great game."
"it was a great game.","It's too bad that I couldn't make it. Who won?"
"it's too bad that I couldn't make it. Who won?","Our team played hard and won."
"our team played hard and won.","I really wish I went to the game."
"i really wish I went to the game.","It was the best game ever."
"it was the best game ever.","So tell me the final score."
"so tell me the final score.","The other team lost by three points, 101-98."
"the other team lost by three points, 101-98.","It must've been a close game."
"it must've been a close game.","It really was. You should've gone."
"what are you doing this weekend?","I'm going to the movies with a friend. How about you?"
"i'm going to the movies with a friend. How about you?","I'm not sure yet."
"i'm not sure yet.","Well, did you want to go see a movie with me?"
"well, did you want to go see a movie with me?","What movie are you going to see?"
"what movie are you going to see?","I'm not sure yet. Is there something you want to see?"
"i'm not sure yet. Is there something you want to see?","There's nothing I can think of."
"there's nothing I can think of.","So, did you want to go?"
"so, did you want to go?","No, thanks, maybe another time."
"no, thanks, maybe another time.","Okay, sounds good."
"do you know what you're going to do this weekend?","I am going to see a movie with a friend of mine. What about you?"
"i am going to see a movie with a friend of mine. What about you?","I don't know."
"i don't know.","Would you like to see a movie with me and my friend?"
"would you like to see a movie with me and my friend?","Do you know what movie you're going to watch?"
"do you know what movie you're going to watch?","I don't know, but was there a certain movie you wanted to see?"
"i don't know, but was there a certain movie you wanted to see?","None that I can think of."
"none that I can think of.","Well, would you like to go?"
"well, would you like to go?","Thank you for inviting me, but I think I'll pass."
"thank you for inviting me, but I think I'll pass.","All right. Another time then."
"you have any ideas as to what you want to do this weekend?","I'm going to the movie theater with my friend. What are you going to do?"
"i'm going to the movie theater with my friend. What are you going to do?","I'm not quite sure yet."
"i'm not quite sure yet.","How about you see a movie with me and my friend?"
"how about you see a movie with me and my friend?","What movie are you and your friend planning on watching?"
"what movie are you and your friend planning on watching?","Not sure. Is there a movie out that catches your eye?"
"not sure. Is there a movie out that catches your eye?","No good movies come to mind."
"no good movies come to mind.","Have you decided whether or not you would like to go?"
"have you decided whether or not you would like to go?","No, thanks. Maybe another time."
"did you go to school today?","Yeah, I went to school today. Were you there?"
"yeah, I went to school today. Were you there?","No, I didn't go, I've been sick."
"no, I didn't go, I've been sick.","That sucks. Did you want the assignments from English class?"
"that sucks. Did you want the assignments from English class?","That would be nice, thank you."
"that would be nice, thank you.","No problem, you're welcome."
"no problem, you're welcome.","I will be glad to do the same for you when you're sick."
"i will be glad to do the same for you when you're sick.","Well, thank you. I hope to see you at school tomorrow."
"have you attended school today?","I attended school today. Did you?"
"i attended school today. Did you?","I wasn't able to attend school because I was feeling ill."
"i wasn't able to attend school because I was feeling ill.","I'm sorry to hear that. Would you like the assignments from English class?"
"i'm sorry to hear that. Would you like the assignments from English class?","I would really appreciate that, thanks."
